,Course\Teacher,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
0,C01,2.0,,,8.0,9.0,,,,,,6.0,4.0,7.0,,,,1.0,,,,,,,2.0,,,,,5.0,
1,C02,6.0,,,,10.0,10.0,1.0,,3.0,,,,,,,,3.0,,,9.0,,1.0,,,,,6.0,3.0,,
2,C03,,,,,,8.0,,,,,,,,,9.0,,,,,,,2.0,7.0,,7.0,1.0,,,,
3,C04,,11.0,12.0,,4.0,,,,,,,,,1.0,4.0,1.0,,,,4.0,,5.0,,1.0,,2.0,7.0,1.0,,7.0
4,C05,,,,4.0,,,,,,,,10.0,,,,6.0,,,,10.0,10.0,3.0,1.0,3.0,,3.0,12.0,4.0,,
5,C06,,7.0,,,,,2.0,,,2.0,,,,,7.0,2.0,,,8.0,,5.0,,,6.0,3.0,,,,,6.0
6,C07,3.0,,,2.0,,,,,,,,,,,3.0,4.0,2.0,7.0,9.0,,,,,,4.0,9.0,,,9.0,
7,C08,5.0,2.0,,,,,,,5.0,1.0,,,,12.0,2.0,,,,7.0,,,,5.0,4.0,,5.0,,,,1.0
8,C09,9.0,12.0,,,12.0,,,,,,,5.0,,10.0,,,4.0,6.0,,,,,,,,4.0,11.0,,,
9,C10,,8.0,,3.0,,2.0,3.0,,,,,6.0,,6.0,,5.0,,9.0,,2.0,,,2.0,,5.0,,,,,
10,C11,4.0,,1.0,1.0,,6.0,4.0,,,,,,,3.0,,3.0,,1.0,1.0,,,4.0,,9.0,1.0,,10.0,,,
11,C12,,,,5.0,,,,,,5.0,,,,,,,,,3.0,,,,6.0,,2.0,6.0,4.0,2.0,,
12,C13,,,7.0,,11.0,,,4.0,4.0,,,,8.0,5.0,,,,,4.0,,,,,,,7.0,8.0,,,
13,C14,1.0,,,7.0,,,,3.0,,,,,,,,,,4.0,,,4.0,,,,,8.0,,,,5.0
14,C15,11.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,11.0,
15,C16,,10.0,,6.0,,,,,,,,,,9.0,1.0,,,3.0,2.0,5.0,,,,,6.0,,2.0,,,
16,C17,,,9.0,,,,,2.0,2.0,,,,2.0,,5.0,,,2.0,5.0,7.0,11.0,,,,,,,,,
17,C18,,,4.0,,,,,,,3.0,,3.0,,,,,,5.0,,,1.0,,4.0,,,,,,,10.0
18,C19,,1.0,5.0,,,1.0,,,,,3.0,,4.0,11.0,6.0,,,,,,,,,,,,3.0,,,3.0
19,C20,8.0,,,,1.0,9.0,,,,4.0,,,,,,,,,6.0,1.0,2.0,,3.0,5.0,,,5.0,,1.0,
20,C21,,,8.0,,,,,5.0,,,,7.0,6.0,,,,,8.0,,8.0,,,,,,,,,,
21,C22,,,2.0,,,5.0,,,,,7.0,,,,8.0,,,,,,7.0,,,,,,,,2.0,
22,C23,,,,,6.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,
23,C24,,,,,,7.0,,,,,,,,7.0,,,,10.0,,11.0,,,,7.0,,,,,3.0,
24,C25,,,,,13.0,,,1.0,,,1.0,,,2.0,,,,,,3.0,,,,,,,,,,
25,C26,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
26,C27,,,3.0,,,,,,,,2.0,,1.0,4.0,,,,,,,8.0,,,,,,,,,
27,C28,,,,,8.0,,,,,,,9.0,,,,,,,,,3.0,,,,,,9.0,,,
28,C29,7.0,9.0,6.0,,7.0,3.0,,,,,,8.0,9.0,,,,,,,,,,,,,,,,,9.0
29,C30,,,11.0,,,,,,,,,2.0,,,,,,,,6.0,,,,,,,13.0,,,8.0
30,C31,,,,,,,,,,,5.0,1.0,5.0,,,,,,,,,,,,,,,,4.0,13.0
31,C32,,4.0,,,,11.0,,,,,,,,8.0,,,,,,,,,,,,,,,10.0,
32,C33,,6.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,2.0
33,C34,,,,,,4.0,,,,,,,10.0,,,,,,,,6.0,,,,,,,,,
34,C35,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0
35,C36,10.0,3.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,
36,C37,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
37,C38,,5.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0
38,C39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0
39,C40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,C41,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,C42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,C43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,
43,C44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
44,C45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,C46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,C47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,C48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,C49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,
49,C50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
